file	PRS_type	threshold	fold	Count	BETA	SE	P	r2_PRS	r2_full	AUC
input/fig3ab_prs/snp//fold93.SNP.0.1.sscore	SNP	0.1	93	74615.9540229885	630.1568228821865	425.67208646037	0.1387716265423839	0.017796	0.10149	0.5516093229744728
input/fig3ab_prs/snp//fold94.SNP.0.00001.sscore	SNP	1e-5	94	28	17.98209605981779	5.516735129834288	0.0011158753586871606	0.090855	0.169178	0.649247491638796
input/fig3ab_prs/snp//fold94.SNP.0.0001.sscore	SNP	1e-4	94	216	37.92120188382469	14.930252890740979	0.011088729871533975	0.0536981	0.135223	0.6110646599777034
input/fig3ab_prs/snp//fold94.SNP.0.001.sscore	SNP	0.001	94	1577.9653179190752	151.2233483634556	54.47614927216018	0.005503979658405525	0.0648348	0.1454	0.5976867335562988
input/fig3ab_prs/snp//fold94.SNP.0.01.sscore	SNP	0.01	94	11701.942196531792	469.73912210096415	153.1900836622786	0.0021666722292387323	0.0809215	0.160101	0.6339186176142698
input/fig3ab_prs/snp//fold94.SNP.0.05.sscore	SNP	0.05	94	43603.90751445087	731.1927302885689	300.0464647085257	0.014812478344006681	0.0487047	0.130659	0.6188684503901896
input/fig3ab_prs/snp//fold94.SNP.0.1.sscore	SNP	0.1	94	74583.88439306358	1063.1788938280936	453.0422156352258	0.018937724074234802	0.0454621	0.127696	0.6073021181716833
input/fig3ab_prs/snp//fold95.SNP.0.00001.sscore	SNP	1e-5	95	42	6.320455981406358	5.125230338380336	0.21749955953663816	0.0120442	0.0727515	0.5484003281378179
input/fig3ab_prs/snp//fold95.SNP.0.0001.sscore	SNP	1e-4	95	210	7.460869350998131	12.344600451208581	0.5455888902928864	0.00288545	0.0641555	0.5069729286300246
input/fig3ab_prs/snp//fold95.SNP.0.001.sscore	SNP	0.001	95	1548	64.66342328319894	41.041102516576615	0.11512328585979376	0.0198988	0.0801235	0.5637134263057151
input/fig3ab_prs/snp//fold95.SNP.0.01.sscore	SNP	0.01	95	11553.977142857142	274.92569692727545	145.46073232630098	0.05875344317996805	0.0285526	0.0882455	0.550998085862729
